Title: Distribution of the Total Population by Federal Poverty Level (above and below 100% FPL) | KFF,,,,,,,,,,,,,,,,,,,,,
Timeframe: 2010 - 2019,,,,,,,,,,,,,,,,,,,,,
Location,2010__At or Below 99%,2010__100%+,2011__At or Below 99%,2011__100%+,2012__At or Below 99%,2012__100%+,2013__At or Below 99%,2013__100%+,2014__At or Below 99%,2014__100%+,2015__At or Below 99%,2015__100%+,2016__At or Below 99%,2016__100%+,2017__At or Below 99%,2017__100%+,2018__At or Below 99%,2018__100%+,2019__At or Below 99%,2019__100%+,Footnotes
Louisiana,814700,3585600,895700,3535500,885500,3571500,883900,3599300,884900,3623500,879700,3650600,919500,3611000,906500,3635100,845200,3674100,843400,3655200,
Maine,176200,1114400,184100,1108100,193400,1099200,172100,1119700,189000,1104900,166500,1126100,168000,1125700,148400,1151700,144900,1154500,137900,1164400,
Maryland,564900,5057200,573700,5094900,578000,5144700,595500,5172100,578700,5240600,590400,5247900,548600,5307900,555500,5337500,518300,5352500,532400,5343100,
Massachusetts,718000,5610400,744200,5616300,768200,5642400,766900,5684600,754400,5752100,742200,5813400,689700,5880800,689800,5930700,666400,5993500,626600,6024200,
Michigan,1596600,8060900,1644000,8011100,1694000,7965300,1626800,8037500,1551800,8130900,1539100,8154700,1443600,8249900,1381900,8338500,1366700,8403300,1278700,8486900,
Minnesota,590500,4597100,606300,4616000,598100,4658200,596200,4691600,592700,4737600,534900,4830700,530400,4862600,531400,4915100,534000,4955000,495200,5019500,
Mississippi,638800,2228300,650100,2228400,686300,2198300,705100,2184100,641000,2245800,632200,2257100,599000,2288400,568300,2316200,575800,2303600,560700,2306400,
Missouri,902300,4899800,924600,4898800,954800,4875800,955800,4897300,902700,4967500,864700,5026300,821600,5076400,787200,5134200,781500,5153000,746500,5193400,
Montana,139500,823300,136100,835500,146300,832400,171700,814600,160400,833300,146400,859500,132600,882500,129200,893300,125200,908800,136300,903200,
Nebraska,231900,1539100,212500,1569800,209000,1586100,235600,1575600,230500,1593200,231000,1607400,216400,1628600,198000,1661200,214800,1654200,192500,1681100,
Nevada,402200,2255400,431400,2244400,427200,2283700,430800,2314700,415800,2379400,424800,2417900,392300,2498000,386900,2559700,388100,2595300,394900,2634800,
New Hampshire,105100,1170900,112500,1165700,123600,1156400,112300,1168500,120200,1166300,102000,1185600,89600,1201700,96800,1200100,94900,1215400,98200,1215900,
New Jersey,878400,7742000,890200,7748500,930000,7755400,991100,7725800,973400,7782800,928400,7847900,902000,7860800,859300,7964600,820300,7908000,798300,7901100,
New Mexico,411100,1606900,436300,1600100,420000,1619200,475100,1565100,434800,1601900,424900,1610400,407000,1622400,399400,1638800,410300,1635000,362300,1679100,
New York,2829800,16030200,3001600,15939000,3043400,15996700,3086100,16033500,2989900,16226400,2935900,16333400,2845300,16376200,2698400,16617300,2615100,16401800,2437700,16470600,
North Carolina,1609000,7632100,1658900,7694200,1697300,7741900,1716500,7806000,1672100,7960800,1627100,8106600,1544500,8285400,1478800,8469900,1414300,8630100,1370600,8769000,
North Dakota,79600,567600,72400,584800,71800,6.00E+05,82900,610600,85400,623000,85800,640700,84300,641700,71100,654900,74200,656500,80100,650800,
Ohio,1781400,9434300,1842800,9381800,1827200,9394900,1751300,9488400,1788500,9481800,1682200,9611100,1626800,9651900,1569400,9754100,1579700,9776200,1476400,9875100,
Oklahoma,621200,3014300,644100,3020700,637300,3052200,623600,3103300,618000,3131500,615200,3168500,612900,3187900,584900,3218800,588900,3227200,592000,3235000,
Oregon,599700,3164300,643200,3150300,641600,3183900,635500,3216100,625400,3264300,595700,3353000,538500,3476000,536800,3526200,500700,3610100,475400,3653400,
Pennsylvania,1622700,10671100,1672400,10645900,1714000,10633600,1702300,10642000,1674400,10693600,1599000,10787400,1583500,10781200,1552900,10836200,1508700,10879400,1501600,10876000,
Rhode Island,147800,861300,144700,862700,139800,868100,141900,866700,144400,869300,138600,875800,129200,884700,118800,897200,127300,886700,109200,907900,
South Carolina,813200,3663300,857000,3662500,833300,3735800,859700,3756500,844500,3829800,782500,3951500,730000,4075300,750500,4114100,744700,4185100,686600,4297600,
South Dakota,117500,669500,101700,689600,107200,693300,111600,7.00E+05,121100,700500,107300,721700,115000,720800,102200,734800,113100,735500,93800,757500,
Tennessee,1090600,5095600,1128300,5102200,1132200,5145200,1146100,5172500,1176000,5198800,1079000,5343800,1015200,5452500,983900,5554300,1016600,5569800,922000,5718900,
Texas,4375900,20208500,4593800,20412300,4530200,20854100,4517700,21255300,4525100,21754900,4228100,22549300,4256100,22922200,4039000,23582200,4151100,23872900,3847700,24438500,
Utah,364300,2359800,378500,2389000,345000,2456800,365000,2484500,342700,2549100,334200,2611000,311400,2688000,292100,2755300,272200,2833700,296900,2857200,
Vermont,71500,527900,65900,533900,68200,532500,77400,525300,61000,539000,57900,544500,67000,532600,66700,533500,66900,533800,60800,537300,
Virginia,878000,6825900,911500,6872200,936600,6928900,935300,7010400,955300,7050600,922600,7128600,895900,7185000,852400,7288300,873500,7308600,807400,7377700,
Washington,892000,5683800,934900,5719500,914900,5818000,948700,5849100,915400,5972300,886000,6116800,810800,6313300,810800,6429100,769700,6598400,720500,6703300,
West Virginia,331600,1467400,335500,1466700,311300,1490500,325500,1472600,321400,1470300,319100,1472400,325700,1456000,336500,1425700,310600,1441700,274200,1464800,
Wisconsin,723000,4810400,752500,4797400,716800,4849300,761300,4831300,724600,4878900,650300,4970600,663000,4960300,615600,5027300,609800,5053100,551900,5125300,
Wyoming,58800,489600,62100,489500,70600,488400,59900,507400,68300,500200,58200,510700,66900,502600,66500,496800,62400,497900,56000,506700,
Puerto Rico,1653300,2030600,1672700,1999000,1627300,2006700,1638700,1943300,1615100,1898900,1585400,1857800,1489800,1889200,1471100,1833700,1367800,1796600,1376200,1788300,
,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
Data may not sum to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $20,578 in 2019. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2019 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,
